,0
IIB-DFC,0.17877512651243146
IIB-IPC,0.2005773875293968
IIB-ITC,0.18842782492597984
IIB-MFC,0.18520020451081823
IIB-OFC,0.18506018669398927
IIB-S1C,0.18416852247256493
IIB-STC,0.20745107727461246
IIB-V1C,0.16875904955799606
IIB-VFC,0.21363423817169258
IIIA-DFC,0.15368374334298118
IIIA-IPC,0.1986227819411614
IIIA-ITC,0.21170388735728907
IIIA-MFC,0.1600886481497997
IIIA-OFC,0.177611498726674
IIIA-S1C,0.21032575542147897
IIIA-STC,0.18581962845174996
IIIA-V1C,0.16403962279071826
IIIA-VFC,0.20761566993532854
IIIB-DFC,0.17391395487683067
IIIB-IPC,0.24701358120994255
IIIB-ITC,0.19988120066958645
IIIB-MFC,0.15360883542671144
IIIB-OFC,0.19394346175411903
IIIB-S1C,0.22456342049311495
IIIB-STC,0.1639349832360539
IIIB-V1C,0.1556519348812324
IIIB-VFC,0.18335339287769697
IV-DFC,0.20245285802296664
IV-IPC,0.18887849049344516
IV-ITC,0.17803050015715466
IV-MFC,0.1795359535812331
IV-OFC,0.1994000519201786
IV-S1C,0.20077379279096627
IV-STC,0.20093102574379795
IV-V1C,0.207193880671081
IV-VFC,0.19766912973246745
IX-DFC,0.21156788417215977
IX-IPC,0.21737302493434318
IX-ITC,0.21752554011096373
IX-MFC,0.20327189302037826
IX-OFC,0.21780706350544674
IX-S1C,0.21177714832155642
IX-STC,0.20486391344793875
IX-V1C,0.19568089936407215
IX-VFC,0.21047077008095594
VI-DFC,0.20111061896684818
VI-IPC,0.1974797012276121
VI-ITC,0.2226023713428741
VI-MFC,0.1960478720922132
VI-OFC,0.20415051369132767
VI-S1C,0.21931208482108763
VI-STC,0.22664069972876702
VI-V1C,0.1909479422484474
VI-VFC,0.21209835825898338
VII-DFC,0.2242406630182398
VII-IPC,0.22719414680908934
VII-ITC,0.19103196673408782
VII-MFC,0.2066370070638957
VII-OFC,0.2109255226024648
VII-S1C,0.21629273960871648
VII-STC,0.19784870980718572
VII-V1C,0.22186183345709728
VII-VFC,0.20451278280117804
VIII-DFC,0.22263378106861223
VIII-IPC,0.22442203990738016
VIII-ITC,0.21080808978374915
VIII-MFC,0.23174733330240987
VIII-OFC,0.24674961825993036
VIII-S1C,0.311137454628994
VIII-STC,0.24934131209186094
VIII-V1C,0.2658654256470823
VIII-VFC,0.14735129019501556
X-DFC,0.16188840267897212
X-IPC,0.18621375924059078
X-ITC,0.23104422767204918
X-MFC,0.269344675455536
X-OFC,0.2655360178828733
X-S1C,0.23611261174098408
X-STC,0.25820027385843797
X-V1C,0.2517922404843072
X-VFC,0.2189025821875435
XI-DFC,0.15028642903367767
XI-IPC,0.14045943177536363
XI-ITC,0.18772991087794982
XI-MFC,0.20997829306345842
XI-OFC,0.21655018839650514
XI-S1C,0.26008300639238136
XI-STC,0.22070827797280063
XI-V1C,0.23254927294646957
XI-VFC,0.1771240090086878
