,XI-DFC,XI-IPC,XI-S1C,XI-VFC,XI-STC,XI-ITC,XI-OFC,XI-V1C,XI-MFC,X-DFC,X-IPC,X-S1C,X-VFC,X-STC,X-ITC,X-OFC,X-V1C,X-MFC,IX-DFC,IX-IPC,IX-S1C,IX-VFC,IX-STC,IX-ITC,IX-OFC,IX-V1C,IX-MFC,VIII-DFC,VIII-IPC,VIII-S1C,VIII-VFC,VIII-STC,VIII-ITC,VIII-OFC,VIII-V1C,VIII-MFC,VII-DFC,VII-IPC,VII-S1C,VII-VFC,VII-STC,VII-ITC,VII-OFC,VII-V1C,VII-MFC,VI-DFC,VI-IPC,VI-S1C,VI-VFC,VI-STC,VI-ITC,VI-OFC,VI-V1C,VI-MFC,IV-DFC,IV-IPC,IV-S1C,IV-VFC,IV-STC,IV-ITC,IV-OFC,IV-V1C,IV-MFC,IIIB-DFC,IIIB-IPC,IIIB-S1C,IIIB-VFC,IIIB-STC,IIIB-ITC,IIIB-OFC,IIIB-V1C,IIIB-MFC,IIIA-DFC,IIIA-IPC,IIIA-S1C,IIIA-VFC,IIIA-STC,IIIA-ITC,IIIA-OFC,IIIA-V1C,IIIA-MFC,IIB-DFC,IIB-IPC,IIB-S1C,IIB-VFC,IIB-STC,IIB-ITC,IIB-OFC,IIB-V1C,IIB-MFC
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5599003700299248,,,,2.1267294516084987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,2.5047785450257085,,,,,,,,,,,,,,,2.5063511258214017,,,,,,,,,,,,,2.879251162425409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1209038607161235,,,,,2.5558206424612018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.765174146289959,,,,,,3.1203431088863636,3.9039915053114713,,,,,,,,,,,,,,,2.9450088406528816,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8549520384641003,,,2.0930947324830957,2.4185879433611865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,4.760812562055655,,,,,,,,,,,,,,,,,,3.2520261054769994,,2.5034857692668755,,,2.334796311826125,,,,,2.283973816689486,,,,2.5898640292912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1606724719271404,,,,,,,,,2.173989044569955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3251732340907725,,,,,,,,,,,,2.06081843982462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.068606761110276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,4.940278935963609,,,,,4.456568574706999,,,,,,,,,,,,,,,,,,,,,4.015926905185173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,5.041759823928125,,,,,,,,,,,,,,,2.436743972632458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.328015910890506,,,,,,,,,,,,,,2.0105841019760384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,2.6756931019845496,2.1923763536632235,,,,,2.447286437989268,,,,,,,,,,,2.6046274644621827,,,,,,,,,2.364556591791733,,2.2241650567595688,2.168327844618036,,,2.9754189682973022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,2.1957343500488515,2.344781838330666,,,,,2.6721942538565293,,,,,,,,,,,,,,,,,,,,,,,,,,4.415263525566753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0763065933644085,,,,,,2.5328275716606563,,2.2858742552843188,,,2.0110055836463148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,6.318833638575655,2.3560348460865246,6.648061274606688,,,5.01853092105895,,,,,,,,,,,,,,,2.173858093615012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,2.629684890006329,,,,,2.8514372562502714,,,,,,,,,,,2.095323986218681,,,,,,2.084313678749462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2753279681633667,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.414980481662995,,,,,,
24,,,,,,,,,,,,,,,,,,2.3185847952802408,,,,,,,5.4662488892558025,,,,,,,,,,,,,,,,,,,,,,,,4.310211712743879,2.6003091093497086,2.1636564947340085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,4.331914616370551,,,,,2.1529663599300566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,3.0696536393355145,,,,,,,,,,,,,,,,,,,3.1852895828872616,,,,,,,,,,,,,2.1589373144888264,,,,,,,,,,,,,,,2.2384272760807704,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,2.787972510179963,,,2.7933758980512624,,,,,,,,,,,,,,,,3.0625898922109025,,,,,,,,,,,,,2.543938131884019,,,,,,,,,,,,,,,2.783638929201727,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2539939650649456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69427118752042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.162932097591052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2727473862628225,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1076271194039524,,,,,,,,,5.556548693579184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,2.3896983946982555,,,,,,,,,,,,,5.1989074855647495,,,,,,2.374705879693248,,,,3.612806828243442,3.562574837858648,,,,,,,,,,,,,,,,,3.147088342636355,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0399314057723656,,,2.539809335898032,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3553189505301777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,3.6301604290393232,3.7599434129738567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.308543567558822,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2201687522997253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.089648970492372,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.416492890538551,,,,,,,,,,2.079102415411503,,,,,,,,,,,,,,,,,,2.7502493702170883,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31840965477694,,,,,,,,,,,,,2.809686322638877,,,,,,,,,,,,2.9845712062912964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,3.443320628922726,,,,,,,,,,,2.5146117699872788,,,,,,,,,,,,,8.481835336714957,,,,,,,,,2.5717192566027807,5.439912843937205,,,,2.6447484827429117,,,,,,,,,,,2.2287472429836543,,,,,,,,,,,,,,,,,,2.6401467324777075,,,,,,,
44,,,,,,,,,,,,,,,,,2.101154595870136,,,,,,,,,,,,,,,,,3.053667937823512,2.3789804618023247,,,,,,,,,2.6639279359584447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,2.3781277708681383,,,,,,,2.2475545079760657,,,,,,,,,,,,,,2.935411255449143,,,2.5349530638668747,,,,,,,,,5.841890305160336,7.2607409613896206,2.563566922183191,,,,,,,,,,,,,,,,3.0013126914322967,,2.1111183365982944,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,2.484762845287264,4.214146406327871,,6.070196722346367,3.2023506884760224,,2.289453292925146,2.505428266328156,,,,,,,,,,7.38616658292166,,3.078130770699885,,,,,,,,,6.629275472877949,,,,,,,,2.0644707268485285,,,3.227220284151103,,,,,,2.088912268596844,4.580580030812957,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2547313621897582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.101546197663529,,,2.762545666837651,,,,,,2.1167292113241034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,2.3076983348721902,,,,2.0988743611991163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
