,index,row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id,rank
0,10673,10673,488,ENSG00000157087,ATP2B2,491,1
1,8048,8048,1259,ENSG00000118432,CNR1,1268,10
2,11605,11605,4719,ENSG00000165973,NELL1,4745,100
3,9694,9694,5109,ENSG00000065989,PDE4A,5141,1000
4,924,925,41420,ENSG00000090924,PLEKHG2,64857,10000
5,12568,12568,34118,ENSG00000106819,ASPN,54829,10001
6,9508,9508,6578,ENSG00000104976,SNAPC2,6618,10003
7,8412,8412,34278,ENSG00000198146,ZNF770,54989,10004
8,4497,4498,34278,ENSG00000198146,ZNF770,54989,10004
9,15238,15238,83765,ENSG00000169340,PDILT,204474,10005
10,3132,3133,58123,ENSG00000171804,WDR87,83889,10006
11,4388,4389,41227,ENSG00000156875,HIAT1,64645,10007
12,387,388,93915,ENSG00000177675,CD163L1,283316,10008
13,1614,1615,3579,ENSG00000049249,TNFRSF9,3604,10009
14,3222,3223,8142,ENSG00000011332,DPF1,8193,1001
15,8552,8552,10588,ENSG00000169967,MAP3K2,10746,10013
16,5656,5657,41356,ENSG00000162775,RBM15,64783,10015
17,11073,11073,9334,ENSG00000057663,ATG5,9474,10016
18,3335,3336,30596,ENSG00000188706,ZDHHC9,51114,10018
19,6337,6338,93671,ENSG00000178301,AQP11,282679,10019
20,16988,16988,56116,ENSG00000113742,CPEB4,80315,1002
21,12491,12491,4988,ENSG00000101405,OXT,5020,10022
22,10908,10908,78455,ENSG00000161634,DCD,117159,10023
23,7757,7757,29586,ENSG00000163600,ICOS,29851,10028
24,8348,8348,77555,ENSG00000162739,SLAMF6,114836,10029
25,12163,12163,60192,ENSG00000135127,CCDC64,92558,10030
26,1641,1642,34955,ENSG00000182446,NPLOC4,55666,10031
27,12102,12102,81611,ENSG00000184148,SPRR4,163778,10034
28,6789,6790,9454,ENSG00000164621,SMAD5-AS1,9597,10035
29,11607,11607,125024,ENSG00000196668,LINC00173,100287569,10037
30,14893,14893,11178,ENSG00000074416,MGLL,11343,10038
31,15456,15456,124,ENSG00000198099,ADH4,127,10039
32,1722,1723,5463,ENSG00000138032,PPM1B,5495,1004
33,9546,9546,10180,ENSG00000101307,SIRPB1,10326,10040
34,14142,14142,3677,ENSG00000113263,ITK,3702,10041
35,1291,1292,267,ENSG00000116748,AMPD1,270,10042
36,12750,12750,55751,ENSG00000148735,PLEKHS1,79949,10043
37,12041,12041,59570,ENSG00000145506,NKD2,85409,10045
38,3560,3561,5793,ENSG00000117528,ABCD3,5825,10047
39,14091,14091,7699,ENSG00000136870,ZNF189,7743,10048
40,8610,8610,2231,ENSG00000113578,FGF1,2246,1005
41,5792,5793,36738,ENSG00000162065,TBC1D24,57465,10051
42,15508,15508,94933,ENSG00000234124,CSN1S2AP,286828,10053
43,15792,15792,8907,ENSG00000144035,NAT8,9027,10054
44,11652,11652,81151,ENSG00000156463,SH3RF2,153769,10057
45,11282,11282,2674,ENSG00000112964,GHR,2690,10058
46,11154,11154,5441,ENSG00000163736,PPBP,5473,10059
47,3256,3257,5973,ENSG00000112077,RHAG,6005,1006
48,5633,5634,94442,ENSG00000144395,CCDC150,284992,10060
49,5677,5678,94442,ENSG00000144395,CCDC150,284992,10060
50,10967,10967,81524,ENSG00000182950,ODF3L1,161753,10062
51,16539,16539,92198,ENSG00000143155,TIPRL,261726,10063
52,9039,9039,9979,ENSG00000122644,ARL4A,10124,10065
53,3079,3080,11034,ENSG00000197150,ABCB8,11194,10066
54,275,276,5259,ENSG00000051382,PIK3CB,5291,10067
55,11668,11668,94329,ENSG00000162753,SLC9C2,284525,10068
56,16918,16918,23091,ENSG00000182253,SYNM,23336,10069
57,525,526,10332,ENSG00000198689,SLC9A6,10479,1007
58,5375,5376,85746,ENSG00000124818,OPN5,221391,10070
59,7901,7901,1426,ENSG00000164400,CSF2,1437,10071
60,5513,5514,109731,ENSG00000186143,C2orf53,339779,10072
61,68,69,55445,ENSG00000180801,ARSJ,79642,10074
62,10011,10011,11083,ENSG00000165156,ZHX1,11244,10075
63,10479,10479,10799,ENSG00000146278,PNRC1,10957,10076
64,6639,6640,5414,ENSG00000105852,PON3,5446,10077
65,14653,14653,59015,ENSG00000132185,FCRLA,84824,10078
66,9010,9010,3073,ENSG00000100644,HIF1A,3091,1008
67,6893,6894,133317,ENSG00000185610,DBX2,440097,10080
