,level_0,index,row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id,rank
0,0,10673,10673,488,ENSG00000157087,ATP2B2,491,1.0
1,1,10549,10549,9243,ENSG00000179915,NRXN1,9378,2.0
2,2,48,49,2758,ENSG00000087258,GNAO1,2775,3.0
3,3,1034,1035,4885,ENSG00000140538,NTRK3,4916,4.0
4,4,4558,4559,6817,ENSG00000067715,SYT1,6857,5.0
5,5,14063,14063,6576,ENSG00000132639,SNAP25,6616,6.0
6,6,9248,9248,6814,ENSG00000157152,SYN2,6854,7.0
7,7,11315,11315,6276,ENSG00000124788,ATXN1,6310,8.0
8,8,4819,4820,284,ENSG00000145362,ANK2,287,9.0
9,9,8048,8048,1259,ENSG00000118432,CNR1,1268,10.0
10,10,15104,15104,812,ENSG00000058404,CAMK2B,816,11.0
11,11,3681,3682,1792,ENSG00000130226,DPP6,1804,12.0
12,12,2048,2049,2318,ENSG00000155966,AFF2,2334,13.0
13,13,4500,4501,10292,ENSG00000130558,OLFM1,10439,14.0
14,14,16807,16807,2765,ENSG00000078369,GNB1,2782,15.0
15,15,4595,4596,1490,ENSG00000169862,CTNND2,1501,16.0
16,16,3580,3581,23124,ENSG00000055917,PUM2,23369,17.0
17,17,5154,5155,4826,ENSG00000139910,NOVA1,4857,18.0
18,18,12154,12154,2874,ENSG00000120251,GRIA2,2891,19.0
19,19,11224,11224,55833,ENSG00000137872,SEMA6D,80031,20.0
20,20,6191,6192,5483,ENSG00000113575,PPP2CA,5515,21.0
21,21,16166,16166,22696,ENSG00000162105,SHANK2,22941,22.0
22,22,13434,13434,9234,ENSG00000021645,NRXN3,9369,23.0
23,23,15076,15076,543,ENSG00000085224,ATRX,546,24.0
24,24,4881,4882,858,ENSG00000079102,RUNX1T1,862,25.0
25,25,17077,17077,23298,ENSG00000100095,SEZ6L,23544,26.0
26,26,2032,2033,2546,ENSG00000166206,GABRB3,2562,27.0
27,27,10813,10813,4884,ENSG00000148053,NTRK2,4915,28.0
28,28,10534,10534,2580,ENSG00000172020,GAP43,2596,29.0
29,29,4393,4394,4299,ENSG00000156103,MMP16,4325,30.0
30,30,4412,4413,4299,ENSG00000156103,MMP16,4325,30.0
31,31,1371,1372,4112,ENSG00000186868,MAPT,4137,31.0
32,32,8270,8270,30893,ENSG00000077080,ACTL6B,51412,32.0
33,33,13916,13916,6548,ENSG00000187122,SLIT1,6585,33.0
34,34,11067,11067,779,ENSG00000165995,CACNB2,783,34.0
35,35,8229,8229,36308,ENSG00000104888,SLC17A7,57030,35.0
36,36,5777,5778,9307,ENSG00000112531,QKI,9444,36.0
37,37,13113,13113,26705,ENSG00000172915,NBEA,26960,37.0
38,38,2266,2267,6382,ENSG00000119335,SET,6418,38.0
39,39,4298,4299,59734,ENSG00000067798,NAV3,89795,39.0
40,40,5706,5707,9077,ENSG00000133083,DCLK1,9201,40.0
41,41,14336,14336,9426,ENSG00000136928,GABBR2,9568,41.0
42,42,4816,4817,5650,ENSG00000129084,PSMA1,5682,42.0
43,43,17119,17119,8848,ENSG00000164061,BSN,8927,43.0
44,44,12285,12285,32815,ENSG00000119866,BCL11A,53335,44.0
45,45,3860,3861,7486,ENSG00000166913,YWHAB,7529,45.0
46,46,15334,15334,3338,ENSG00000147246,HTR2C,3358,46.0
47,47,1496,1497,1629,ENSG00000077279,DCX,1641,47.0
48,48,10538,10538,8995,ENSG00000148798,INA,9118,48.0
49,49,11014,11014,4866,ENSG00000091129,NRCAM,4897,49.0
50,50,12850,12850,2556,ENSG00000136750,GAD2,2572,50.0
51,51,7758,7758,3336,ENSG00000102468,HTR2A,3356,51.0
52,52,16764,16764,2875,ENSG00000125675,GRIA3,2892,52.0
53,53,13185,13185,25782,ENSG00000107518,ATRNL1,26033,53.0
54,54,8522,8522,2806,ENSG00000150625,GPM6A,2823,54.0
55,55,1900,1901,2316,ENSG00000102081,FMR1,2332,55.0
56,56,13302,13302,2886,ENSG00000183454,GRIN2A,2903,56.0
57,57,15843,15843,6804,ENSG00000220205,VAMP2,6844,57.0
58,58,17145,17145,822,ENSG00000126247,CAPNS1,826,58.0
59,59,8664,8664,2100,ENSG00000006468,ETV1,2115,59.0
60,60,10317,10317,4105,ENSG00000166963,MAP1A,4130,60.0
61,61,13689,13689,22991,ENSG00000182621,PLCB1,23236,61.0
62,62,15865,15865,2998,ENSG00000164032,H2AFZ,3015,62.0
63,63,12376,12376,8889,ENSG00000160145,KALRN,8997,63.0
64,64,12520,12520,8889,ENSG00000160145,KALRN,8997,63.0
65,65,7156,7156,2051,ENSG00000178568,ERBB4,2066,64.0
66,66,1336,1337,6398,ENSG00000136527,TRA2B,6434,65.0
67,67,10994,10994,6624,ENSG00000176887,SOX11,6664,66.0
68,68,15645,15645,5467,ENSG00000172531,PPP1CA,5499,67.0
69,69,6594,6595,4735,ENSG00000171532,NEUROD2,4761,68.0
70,70,15685,15685,38,ENSG00000110881,ASIC1,41,69.0
71,71,5579,5580,7736,ENSG00000115194,SLC30A3,7781,70.0
72,72,9190,9190,6470,ENSG00000110436,SLC1A2,6506,71.0
73,73,3802,3803,9103,ENSG00000198010,DLGAP2,9228,72.0
74,74,10745,10745,5069,ENSG00000184226,PCDH9,5101,73.0
75,75,14427,14427,5184,ENSG00000108518,PFN1,5216,74.0
76,76,10802,10802,10963,ENSG00000196090,PTPRT,11122,75.0
77,77,1916,1917,393,ENSG00000141522,ARHGDIA,396,76.0
78,78,10287,10287,23117,ENSG00000156011,PSD3,23362,77.0
79,79,10132,10132,23117,ENSG00000156011,PSD3,23362,77.0
80,80,5302,5303,7298,ENSG00000116030,SUMO1,7341,78.0
81,81,16982,16982,5659,ENSG00000108294,PSMB3,5691,79.0
82,82,7159,7159,5968,ENSG00000182901,RGS7,6000,80.0
83,83,14633,14633,22615,ENSG00000072071,LPHN1,22859,81.0
84,84,14639,14639,22615,ENSG00000072071,LPHN1,22859,81.0
85,85,10170,10170,9757,ENSG00000196220,SRGAP3,9901,82.0
86,86,11590,11590,10221,ENSG00000006116,CACNG3,10368,83.0
87,87,11096,11096,530,ENSG00000117410,ATP6V0B,533,84.0
88,88,967,968,33956,ENSG00000081019,RSBN1,54665,85.0
89,89,15845,15845,40519,ENSG00000165495,PKNOX2,63876,86.0
90,90,17061,17061,3753,ENSG00000156113,KCNMA1,3778,87.0
91,91,15332,15332,23039,ENSG00000150471,LPHN3,23284,88.0
92,92,17417,17417,8069,ENSG00000103723,AP3B2,8120,89.0
93,93,1630,1631,2555,ENSG00000128683,GAD1,2571,90.0
94,94,13067,13067,23149,ENSG00000101126,ADNP,23394,91.0
95,95,8912,8912,4329,ENSG00000108852,MPP2,4355,92.0
96,96,92,93,10528,ENSG00000114646,CSPG5,10675,93.0
97,97,17549,17549,41579,ENSG00000068615,REEP1,65055,94.0
98,98,11675,11675,5653,ENSG00000041357,PSMA4,5685,95.0
99,99,10862,10862,5146,ENSG00000198300,PEG3,5178,96.0
100,100,5903,5904,22869,ENSG00000163531,NFASC,23114,97.0
101,101,9183,9183,4108,ENSG00000078018,MAP2,4133,98.0
102,102,14978,14978,5967,ENSG00000117152,RGS4,5999,99.0
103,103,11605,11605,4719,ENSG00000165973,NELL1,4745,100.0
104,104,1177,1178,4853,ENSG00000171246,NPTX1,4884,101.0
105,105,5443,5444,105,ENSG00000078295,ADCY2,108,102.0
106,106,4217,4218,36741,ENSG00000124140,SLC12A5,57468,103.0
107,107,9939,9939,8468,ENSG00000175264,CHST1,8534,104.0
108,108,4272,4273,37,ENSG00000108684,ASIC2,40,105.0
109,109,8882,8882,1825,ENSG00000134769,DTNA,1837,106.0
110,110,7724,7724,740,ENSG00000066382,MPPED2,744,107.0
111,111,4380,4381,23069,ENSG00000119042,SATB2,23314,108.0
112,112,12549,12549,9091,ENSG00000133424,LARGE,9215,109.0
113,113,6994,6994,1166,ENSG00000042753,AP2S1,1175,110.0
114,114,7735,7735,9856,ENSG00000117020,AKT3,10000,111.0
115,115,3903,3904,30921,ENSG00000116983,HPCAL4,51440,112.0
116,116,12001,12001,10540,ENSG00000240694,PNMA2,10687,113.0
117,117,5163,5164,27189,ENSG00000186472,PCLO,27445,114.0
118,118,5124,5125,27189,ENSG00000186472,PCLO,27445,114.0
119,119,16414,16414,487,ENSG00000070961,ATP2B1,490,115.0
120,120,15657,15657,3760,ENSG00000075043,KCNQ2,3785,116.0
121,121,900,901,9554,ENSG00000134644,PUM1,9698,117.0
122,122,13933,13933,270,ENSG00000078053,AMPH,273,118.0
123,123,5070,5071,8549,ENSG00000163618,CADPS,8618,119.0
124,124,17487,17487,10067,ENSG00000115233,PSMD14,10213,120.0
125,125,14958,14958,2538,ENSG00000022355,GABRA1,2554,121.0
126,126,13441,13441,2873,ENSG00000155511,GRIA1,2890,122.0
127,127,11614,11614,4721,,NEFL,4747,123.0
128,128,12367,12367,4946,ENSG00000183715,OPCML,4978,124.0
129,129,1361,1362,1391,ENSG00000072832,CRMP1,1400,126.0
130,130,3333,3334,113,ENSG00000141433,ADCYAP1,116,127.0
131,131,13108,13108,8736,ENSG00000000419,DPM1,8813,128.0
132,132,6896,6897,574,ENSG00000135298,BAI3,577,129.0
133,133,14606,14606,995,ENSG00000170558,CDH2,1000,130.0
134,134,2460,2461,2089,ENSG00000196482,ESRRG,2104,131.0
135,135,5186,5187,1001,ENSG00000150394,CDH8,1006,132.0
136,136,8546,8546,22772,ENSG00000135472,FAIM2,23017,133.0
137,137,2364,2365,25796,ENSG00000174469,CNTNAP2,26047,134.0
